Date,puck1,puck2,msgs1,msgs2
11:03:47 AM,56,48,,
11:03:48 AM,56,48,,
11:03:49 AM,56,48,,
11:03:50 AM,56,48,,
11:03:51 AM,56,48,,
11:03:52 AM,56,48,,
11:03:53 AM,56,48,,
11:03:54 AM,56,48,,
11:03:55 AM,4,48,,
11:03:56 AM,4,48,,
11:03:57 AM,4,48,,
11:03:58 AM,4,48,,
11:03:59 AM,4,48,,
11:04:00 AM,4,48,,
11:04:01 AM,4,48,,
11:04:02 AM,4,48,,
11:04:03 AM,4,48,,
11:04:04 AM,4,48,,
11:04:05 AM,4,48,,
11:04:06 AM,159,147,800,
11:04:07 AM,567,569,,
11:04:08 AM,567,567,,400
11:04:09 AM,567,567,,
11:04:10 AM,567,567,,
11:04:11 AM,567,567,,
11:04:12 AM,567,567,,
11:04:13 AM,567,567,,
11:04:14 AM,567,567,,
11:04:15 AM,567,567,,
11:04:16 AM,567,567,,
11:04:17 AM,567,567,,
11:04:18 AM,567,567,,
11:04:19 AM,567,567,,
11:04:20 AM,567,567,,
11:04:21 AM,567,567,,
11:04:22 AM,567,567,,
11:04:23 AM,567,567,,
11:04:24 AM,567,567,,
11:04:25 AM,567,567,,
11:04:26 AM,567,567,,
11:04:27 AM,567,567,,
11:04:28 AM,567,567,,
11:04:29 AM,567,567,,
11:04:30 AM,567,567,,
11:04:31 AM,567,567,,
11:04:32 AM,567,567,,
11:04:33 AM,567,567,,
11:04:34 AM,567,567,,
11:04:35 AM,567,567,,
11:04:36 AM,567,567,,
11:04:37 AM,567,567,,
11:04:38 AM,567,567,,
11:04:39 AM,567,567,,
11:04:40 AM,567,603,,
11:04:41 AM,567,603,,
11:04:42 AM,567,603,,
11:04:43 AM,567,745,,
11:04:44 AM,567,391,,
11:04:45 AM,593,859,,
11:04:46 AM,603,605,600,200
11:04:47 AM,50,58,,
11:04:48 AM,50,58,,
11:04:49 AM,50,58,,
11:04:50 AM,50,58,,
11:04:51 AM,50,58,,
11:04:52 AM,10,58,,
11:04:53 AM,10,58,,
11:04:54 AM,10,58,,
11:04:55 AM,10,58,,
11:04:56 AM,10,58,,
11:04:57 AM,10,58,,
11:04:58 AM,10,58,,
11:04:59 AM,10,58,,
11:05:00 AM,10,58,,
11:05:01 AM,10,58,,
11:05:02 AM,10,58,,
11:05:03 AM,10,58,,
11:05:04 AM,10,58,,
11:05:05 AM,473,247,800,
11:05:06 AM,435,249,,400
11:05:07 AM,453,387,,
11:05:08 AM,453,387,,
11:05:09 AM,453,387,,
11:05:10 AM,453,387,,
11:05:11 AM,453,387,,
