x,y1,y2,y3,y4,y5,y6
11:04:02,361,175,,,,
11:04:03,361,175,,,,
11:04:04,361,175,,,,
11:04:05,361,175,,,,
11:04:06,361,175,,,,
11:04:07,285,401,,,,
11:04:08,503,515,,,,
11:04:09,341,445,,,,
11:04:10,575,599,,,,
11:04:11,32,34,,600,,200
11:04:12,32,34,,,,
11:04:13,32,34,,,,
11:04:14,32,88,,,,
11:04:15,211,233,800,,,
11:04:16,473,469,,,400,
11:04:17,765,297,,,,
11:04:18,765,297,,,,
11:04:19,533,457,,,,
11:04:20,503,421,,,,
11:04:21,503,401,,,,
11:04:22,499,417,,,,
11:04:23,525,431,,,,
11:04:24,517,419,,,,
11:04:25,499,391,,,,
11:04:26,505,411,,,,
11:04:27,533,383,,,,
11:04:28,533,399,,,,
11:04:29,515,401,,,,
11:04:30,517,379,,,,
11:04:31,497,421,,,,
11:04:32,503,407,,,,
11:04:33,531,397,,,,
11:04:34,531,433,,,,
11:04:35,525,401,,,,
11:04:36,525,401,,,,
11:04:37,523,419,,,,
11:04:38,525,431,,,,
11:04:39,525,383,,,,
11:04:40,499,395,,,,
11:04:41,523,403,,,,
11:04:42,517,421,,,,
11:04:43,535,435,,,,
11:04:44,513,417,,,,
11:04:45,519,431,,,,
11:04:46,515,401,,,,
11:04:47,499,427,,,,
11:04:48,421,369,,,,
11:04:49,421,333,,,,
11:04:50,407,375,,,,
11:04:51,361,241,,,,
11:04:52,669,443,,,,
11:04:53,135,143,,600,,
11:04:54,52,143,800,,,200
11:04:55,52,22,,600,,
11:04:56,52,22,,,,
11:04:57,52,22,,,,
11:04:58,52,22,,,,
11:04:59,52,22,,,,
11:05:00,52,22,,,,
11:05:01,52,22,,,,
11:05:02,52,22,,,,
11:05:03,52,22,,,,
11:05:04,12,22,,,,
11:05:05,12,22,,,,
11:05:06,12,22,,,,
11:05:07,12,22,,,,
11:05:08,12,22,,,,
11:05:09,12,16,,,,
11:05:10,12,16,,,,
11:05:11,12,16,,,,
11:05:12,12,16,,,,
11:05:13,12,16,,,,
11:05:14,12,16,,,,
11:05:15,12,16,,,,
11:05:16,12,16,,,,
11:05:17,12,16,,,,
11:05:18,12,16,,,,
11:05:19,12,16,,,,
11:05:20,12,16,,,,
11:05:21,12,16,,,,
11:05:22,12,16,,,,
11:05:23,12,16,,,,
11:05:24,12,16,,,,
11:05:25,12,16,,,,
11:05:26,12,16,,,,
11:05:27,24,16,,,,
11:05:28,24,16,,,,
11:05:29,24,16,,,,
11:05:30,24,16,,,,
11:05:31,24,16,,,,
11:05:32,24,16,,,,
11:05:33,24,16,,,,
11:05:34,24,16,,,,
11:05:35,24,16,,,,
11:05:36,24,16,,,,
11:05:37,24,16,,,,
11:05:38,24,16,,,,
11:05:39,24,16,,,,
11:05:40,24,16,,,,
11:05:41,24,16,,,,
11:05:42,24,16,,,,
11:05:43,24,16,,,,
11:05:44,24,16,,,,
11:05:45,24,16,,,,
11:05:46,24,16,,,,
11:05:47,24,16,,,,
11:05:48,24,16,,,,
11:05:49,24,22,,,,
11:05:50,24,22,,,,
11:05:51,24,22,,,,
11:05:52,24,22,,,,
11:05:53,24,22,,,,
11:05:54,24,22,,,,
11:05:55,387,635,,,,
11:05:56,597,373,800,,400,
11:05:57,597,385,,,,
11:05:58,597,391,,,,
11:05:59,597,391,,,,
11:06:00,597,391,,,,
11:06:01,597,391,,,,
11:06:02,589,391,,,,
11:06:03,589,407,,,,
11:06:04,589,407,,,,
11:06:05,589,417,,,,
11:06:06,589,417,,,,
11:06:07,589,387,,,,
11:06:08,589,389,,,,
11:06:09,589,389,,,,
11:06:10,589,417,,,,
11:06:11,589,393,,,,
11:06:12,589,393,,,,
11:06:13,577,383,,,,
11:06:14,605,395,,,,
11:06:15,605,395,,,,
11:06:16,605,395,,,,
11:06:17,605,395,,,,
11:06:18,605,395,,,,
11:06:19,605,395,,,,
11:06:20,605,395,,,,
11:06:21,605,417,,,,
11:06:22,605,417,,,,
11:06:23,571,437,,,,
11:06:24,611,437,,,,
11:06:25,655,547,,,,
11:06:26,32,24,,,,
11:06:27,32,24,,600,,200
11:06:28,32,24,,,,
11:06:29,32,24,,,,
11:06:30,32,24,,,,
11:06:31,32,24,,,,
11:06:32,32,24,,,,
11:06:33,32,24,,,,
11:06:34,32,24,,,,
11:06:35,32,24,,,,
11:06:36,32,24,,,,
11:06:37,32,24,,,,
11:06:38,32,24,,,,
11:06:39,32,24,,,,
11:06:40,32,24,,,,
11:06:41,32,24,,,,
11:06:42,32,24,,,,
11:06:43,32,24,,,,
11:06:44,32,24,,,,
11:06:45,32,24,,,,
11:06:46,32,24,,,,
11:06:47,32,24,,,,
11:06:48,32,24,,,,
11:06:49,32,24,,,,
11:06:50,32,24,,,,
11:06:51,32,28,,,,
11:06:52,32,28,,,,
11:06:53,32,28,,,,
11:06:54,32,28,,,,
11:06:55,32,28,,,,
11:06:56,32,28,,,,
11:06:57,32,28,,,,
11:06:58,32,28,,,,
11:06:59,16,28,,,,
11:07:00,16,28,,,,
11:07:01,16,28,,,,
11:07:02,16,28,,,,
11:07:03,16,28,,,,
11:07:04,90,147,800,,,
11:07:05,1179,319,,,,
11:07:06,1179,1273,,,400,
11:07:07,1123,1449,,,,
11:07:08,1105,1305,,,,
11:07:09,1127,1141,,,,
11:07:10,1017,1001,,,,
11:07:11,1043,987,,,,
11:07:12,969,1075,,,,
11:07:13,1139,931,,,,
11:07:14,885,877,,,,
11:07:15,955,821,,,,
11:07:16,829,821,,,,
11:07:17,851,831,,,,
11:07:18,857,831,,,,
11:07:19,895,779,,,,
11:07:20,923,779,,,,
11:07:21,923,779,,,,
11:07:22,925,779,,,,
11:07:23,893,779,,,,
11:07:24,897,779,,,,
11:07:25,915,779,,,,
11:07:26,925,755,,,,
11:07:27,901,755,,,,
11:07:28,929,755,,,,
11:07:29,907,745,,,,
11:07:30,799,521,,,,
11:07:31,499,349,,,,
11:07:32,889,887,,,,
11:07:33,84,355,,,,200
11:07:34,40,16,,600,,
11:07:35,40,16,,,,
11:07:36,40,16,,,,
11:07:37,40,16,,,,
11:07:38,40,16,,,,
11:07:39,40,16,,,,
11:07:40,40,16,,,,
11:07:41,40,16,,,,
11:07:42,40,16,,,,
11:07:43,40,16,,,,
11:07:44,40,16,,,,
11:07:45,40,16,,,,
11:07:46,40,16,,,,
11:07:47,40,16,,,,
11:07:48,40,16,,,,
11:07:49,40,16,,,,
11:07:50,40,16,,,,
11:07:51,40,16,,,,
11:07:52,40,16,,,,
11:07:53,40,16,,,,
11:07:54,10,16,,,,
11:07:55,10,16,,,,
11:07:56,10,16,,,,
11:07:57,10,16,,,,
11:07:58,10,16,,,,
11:07:59,10,16,,,,
11:08:00,10,16,,,,
11:08:01,10,18,,,,
11:08:02,10,18,,,,
11:08:03,10,18,,,,
11:08:04,10,18,,,,
11:08:05,10,18,,,,
11:08:06,10,18,,,,
11:08:07,10,18,,,,
11:08:08,10,18,,,,
11:08:09,10,18,,,,
11:08:10,10,18,,,,
11:08:11,10,18,,,,
11:08:12,10,18,,,,
11:08:13,10,18,,,,
11:08:14,10,18,,,,
11:08:15,10,18,,,,
11:08:16,10,18,,,,
11:08:17,10,18,,,,
11:08:18,10,18,,,,
11:08:19,10,18,,,,
11:08:20,10,18,,,,
11:08:21,10,18,,,,
11:08:22,10,18,,,,
11:08:23,10,18,,,,
11:08:24,10,18,,,,
11:08:25,110,413,800,,,
11:08:26,383,1063,,,400,
11:08:27,419,1101,,,,
11:08:28,439,1101,,,,
11:08:29,439,1111,,,,
11:08:30,439,1111,,,,
11:08:31,439,1101,,,,
11:08:32,439,1091,,,,
11:08:33,439,1091,,,,
11:08:34,427,1091,,,,
11:08:35,405,1091,,,,
11:08:36,405,1091,,,,
11:08:37,433,1091,,,,
11:08:38,433,1091,,,,
11:08:39,433,1091,,,,
11:08:40,433,1091,,,,
11:08:41,433,1091,,,,
11:08:42,433,1091,,,,
11:08:43,433,1091,,,,
11:08:44,395,1165,,,,
11:08:45,309,1159,,,,
11:08:46,639,911,,,,
11:08:47,259,431,,,,
11:08:48,38,50,,,,200
11:08:49,38,50,,600,,
11:08:50,38,50,,,,
11:08:51,14,50,,,,
11:08:52,14,50,,,,
11:08:53,14,50,,,,
11:08:54,14,50,,,,
11:08:55,14,50,,,,
11:08:56,14,2,,,,
11:08:57,14,2,,,,
11:08:58,14,2,,,,
11:08:59,14,10,,,,
11:09:00,14,10,,,,
11:09:01,14,10,,,,
11:09:02,14,10,,,,
11:09:03,14,10,,,,
11:09:04,14,10,,,,
11:09:05,14,10,,,,
11:09:06,14,10,,,,
11:09:07,14,10,,,,
11:09:08,14,10,,,,
11:09:09,14,10,,,,
11:09:10,14,10,,,,
11:09:11,14,10,,,,
11:09:12,14,10,,,,
11:09:13,14,10,,,,
11:09:14,14,10,,,,
11:09:15,14,10,,,,
11:09:16,14,10,,,,
11:09:17,14,10,,,,
11:09:18,14,10,,,,
11:09:19,14,10,,,,
11:09:20,14,10,,,,
11:09:21,14,10,,,,
11:09:22,14,10,,,,
11:09:23,14,10,,,,
11:09:24,14,10,,,,
11:09:25,14,10,,,,
11:09:26,14,10,,,,
11:09:27,14,10,,,,
11:09:28,14,10,,,,
11:09:29,14,10,,,,
11:09:30,14,10,,,,
11:09:31,14,10,,,,
11:09:32,14,10,,,,
11:09:33,14,10,,,,
11:09:34,14,10,,,,
11:09:35,14,10,,,,
11:09:36,14,10,,,,
11:09:37,14,10,,,,
11:09:38,14,10,,,,
11:09:39,14,10,,,,
11:09:40,14,10,,,,
11:09:41,14,10,,,,
11:09:42,14,10,,,,
11:09:43,14,10,,,,
11:09:44,14,10,,,,
11:09:45,14,10,,,,
11:09:46,14,10,,,,
11:09:47,14,10,,,,
11:09:48,14,10,,,,
11:09:49,6,10,,,,
11:09:50,6,10,,,,
11:09:51,6,10,,,,
11:09:52,6,10,,,,
11:09:53,6,10,,,,
11:09:54,6,10,,,,
11:09:55,6,10,,,,
11:09:56,6,10,,,,
11:09:57,6,12,,,,
11:09:58,6,12,,,,
11:09:59,6,12,,,,
11:10:00,6,12,,,,
11:10:01,6,12,,,,
11:10:02,6,12,,,,
11:10:03,6,12,,,,
11:10:04,6,12,,,,
11:10:05,6,12,,,,
11:10:06,6,12,,,,
11:10:07,6,12,,,,
11:10:08,6,12,,,,
11:10:09,6,12,,,,
11:10:10,6,12,,,,
11:10:11,6,12,,,,
11:10:12,6,12,,,,
11:10:13,6,12,,,,
11:10:14,6,12,,,,
11:10:15,6,12,,,,
11:10:16,6,12,,,,
11:10:17,6,12,,,,
11:10:18,6,12,,,,
11:10:19,6,12,,,,
11:10:20,6,12,,,,
11:10:21,6,12,,,,
11:10:22,6,12,,,,
11:10:23,6,12,,,,
11:10:24,6,12,,,,
11:10:25,20,12,,,,
11:10:26,20,12,,,,
11:10:27,20,12,,,,
11:10:28,20,12,,,,
11:10:29,20,12,,,,
11:10:30,20,12,,,,
11:10:31,20,12,,,,
11:10:32,20,12,,,,
11:10:33,20,12,,,,
11:10:34,20,12,,,,
11:10:35,20,12,,,,
11:10:36,20,12,,,,
11:10:37,20,12,,,,
11:10:38,20,12,,,,
11:10:39,20,12,,,,
11:10:40,20,12,,,,
11:10:41,20,12,,,,
11:10:42,20,12,,,,
11:10:43,20,12,,,,
11:10:44,20,12,,,,
11:10:45,20,12,,,,
11:10:46,20,12,,,,
11:10:47,20,12,,,,
11:10:48,10,12,,,,
11:10:49,10,12,,,,
11:10:50,10,12,,,,
11:10:51,10,12,,,,
11:10:52,10,12,,,,
11:10:53,10,12,,,,
11:10:54,10,12,,,,
11:10:55,10,12,,,,
11:10:56,10,10,,,,
11:10:57,10,10,,,,
11:10:58,10,10,,,,
11:10:59,10,10,,,,
11:11:00,10,10,,,,
11:11:01,74,80,,,,
11:11:02,969,647,800,,,
11:11:03,969,787,,,400,
11:11:04,1199,873,,,,
11:11:05,1217,903,,,,
11:11:06,1213,857,,,,
11:11:07,1205,913,,,,
11:11:08,1183,909,,,,
11:11:09,1273,915,,,,
11:11:10,1145,903,,,,
11:11:11,1197,903,,,,
11:11:12,1163,915,,,,
11:11:13,1165,909,,,,
11:11:14,1197,891,,,,
11:11:15,1193,891,,,,
11:11:16,1187,933,,,,
11:11:17,1169,895,,,,
11:11:18,1169,895,,,,
11:11:19,1193,889,,,,
11:11:20,1171,903,,,,
11:11:21,1193,901,,,,
11:11:22,1185,913,,,,
11:11:23,1213,897,,,,
11:11:24,1167,879,,,,
11:11:25,1195,877,,,,
11:11:26,1183,899,,,,
11:11:27,1183,883,,,,
11:11:28,1163,913,,,,
11:11:29,1177,917,,,,
11:11:30,1177,871,,,,
11:11:31,1177,881,,,,
11:11:32,1189,907,,,,
11:11:33,1199,907,,,,
11:11:34,1169,895,,,,
11:11:35,1195,867,,,,
11:11:36,1195,867,,,,
11:11:37,1207,881,,,,
11:11:38,1169,871,,,,
11:11:39,1165,907,,,,
11:11:40,1191,875,,,,
11:11:41,1165,889,,,,
11:11:42,1201,889,,,,
11:11:43,1213,875,,,,
11:11:44,1191,901,,,,
11:11:45,1195,913,,,,
11:11:46,1177,897,,,,
11:11:47,1203,921,,,,
11:11:48,1193,899,,,,
11:11:49,1189,903,,,,
11:11:50,1173,871,,,,
11:11:51,1171,881,,,,
11:11:52,1173,873,,,,
11:11:53,1167,921,,,,
11:11:54,1167,921,,,,
11:11:55,1191,887,,,,
11:11:56,1193,867,,,,
11:11:57,1193,881,,,,
11:11:58,1169,865,,,,
11:11:59,1189,931,,,,
11:12:00,1439,911,,,,
11:12:01,2387,1701,,,,
11:12:02,2053,993,,,,
11:12:03,291,517,,,,
11:12:04,40,38,,600,,200
11:12:05,40,38,,,,
11:12:06,40,38,,,,
11:12:07,40,38,,,,
11:12:08,40,38,,,,
11:12:09,40,38,,,,
11:12:10,40,38,,,,
11:12:11,40,38,,,,
11:12:12,40,38,,,,
11:12:13,40,38,,,,
11:12:14,40,38,,,,
11:12:15,40,38,,,,
11:12:16,40,38,,,,
11:12:17,40,38,,,,
11:12:18,40,38,,,,
11:12:19,40,38,,,,
11:12:20,40,38,,,,
11:12:21,40,38,,,,
11:12:22,40,38,,,,
11:12:23,40,38,,,,
11:12:24,40,38,,,,
11:12:25,40,38,,,,
11:12:26,40,38,,,,
11:12:27,40,38,,,,
11:12:28,40,38,,,,
11:12:29,40,38,,,,
11:12:30,40,38,,,,
11:12:31,40,38,,,,
11:12:32,40,38,,,,
11:12:33,40,38,,,,
11:12:34,40,38,,,,
11:12:35,40,38,,,,
11:12:36,40,38,,,,
11:12:37,12,38,,,,
11:12:38,12,38,,,,
11:12:39,12,38,,,,
11:12:40,12,38,,,,
11:12:41,12,38,,,,
11:12:42,12,38,,,,
11:12:43,12,38,,,,
11:12:44,12,8,,,,
11:12:45,12,8,,,,
11:12:46,12,8,,,,
11:12:47,30,8,,,,
11:12:48,30,8,,,,
